Sigma Gauss	Esperanza Poisson	Límite de integración ePix 
 [e]	 [e/pxl]	 [e] 
0.211	0.00649341	0.696
0.211	0.00616644	0.698
0.211	0.00585588	0.7
0.211	0.00556092	0.702
0.211	0.00528076	0.704
0.211	0.00501468	0.706
0.211	0.00476197	0.708
0.211	0.00452194	0.71
0.211	0.00429398	0.712
0.211	0.00407748	0.714
0.211	0.00387185	0.716
0.211	0.00367656	0.718
0.211	0.00349109	0.72
0.211	0.00331494	0.722
0.211	0.00314765	0.724
0.211	0.00298877	0.726
0.211	0.00283788	0.728
0.211	0.00269459	0.73
0.211	0.0025585	0.732
0.211	0.00242927	0.734
0.211	0.00230653	0.736
0.211	0.00218998	0.738
0.211	0.00207929	0.74
0.211	0.00197418	0.742
0.211	0.00187436	0.744
0.211	0.00177957	0.746
0.211	0.00168956	0.748
0.211	0.00160408	0.75
0.211	0.0015229	0.752
0.211	0.00144582	0.754
0.211	0.00137263	0.756
0.211	0.00130312	0.758
0.211	0.00123713	0.76
0.211	0.00117446	0.762
0.211	0.00111495	0.764
0.211	0.00105844	0.766
0.211	0.00100479	0.768
0.211	0.000953843	0.77
0.211	0.000905469	0.772
0.211	0.000859538	0.774
0.211	0.000815927	0.776
0.211	0.000774519	0.778
0.211	0.000735204	0.78
0.211	0.000697875	0.782
0.211	0.000662433	0.784
0.211	0.000628782	0.786
0.211	0.000596833	0.788
0.211	0.000566501	0.79
0.211	0.000537702	0.792
0.211	0.000510361	0.794
0.211	0.000484403	0.796
0.211	0.00045976	0.798
0.211	0.000436364	0.8
0.211	0.000414153	0.802
0.213	0.364848	0.54
0.213	0.346906	0.542
0.213	0.329847	0.544
0.213	0.313626	0.546
0.213	0.298202	0.548
0.213	0.283536	0.55
0.213	0.26959	0.552
0.213	0.256331	0.554
0.213	0.243722	0.556
0.213	0.231734	0.558
0.213	0.220334	0.56
0.213	0.209495	0.562
0.213	0.199189	0.564
0.213	0.189389	0.566
0.213	0.180071	0.568
0.213	0.171211	0.57
0.213	0.162786	0.572
0.213	0.154776	0.574
0.213	0.147159	0.576
0.213	0.139917	0.578
0.213	0.13303	0.58
0.213	0.126482	0.582
0.213	0.120256	0.584
0.213	0.114337	0.586
0.213	0.108708	0.588
0.213	0.103356	0.59
0.213	0.0982669	0.592
0.213	0.0934282	0.594
0.213	0.0888275	0.596
0.213	0.084453	0.598
0.213	0.0802936	0.6
0.213	0.0763387	0.602
0.213	0.0725784	0.604
0.213	0.069003	0.606
0.213	0.0656034	0.608
0.213	0.0623711	0.61
0.213	0.0592977	0.612
0.213	0.0563756	0.614
0.213	0.0535972	0.616
0.213	0.0509555	0.618
0.213	0.0484438	0.62
0.213	0.0460557	0.622
0.213	0.043785	0.624
0.213	0.0416261	0.626
0.213	0.0395735	0.628
0.213	0.0376219	0.63
0.213	0.0357663	0.632
0.213	0.0340021	0.634
0.213	0.0323247	0.636
0.213	0.03073	0.638
0.213	0.0292137	0.64
0.213	0.0277721	0.642
0.213	0.0264014	0.644
0.213	0.0250983	0.646
0.213	0.0238594	0.648
0.213	0.0226814	0.65
0.213	0.0215615	0.652
0.213	0.0204968	0.654
0.213	0.0194845	0.656
0.213	0.0185221	0.658
0.213	0.0176071	0.66
0.213	0.0167372	0.662
0.213	0.0159102	0.664
0.213	0.0151239	0.666
0.213	0.0143764	0.668
0.213	0.0136658	0.67
0.213	0.0129902	0.672
0.213	0.0123479	0.674
0.213	0.0117373	0.676
0.213	0.0111567	0.678
0.213	0.0106049	0.68
0.213	0.0100802	0.682
0.213	0.00958145	0.684
0.213	0.0091073	0.686
0.213	0.00865653	0.688
0.213	0.00822802	0.69
0.213	0.00782066	0.692
0.213	0.0074334	0.694
0.213	0.00706526	0.696
0.213	0.0067153	0.698
0.213	0.00638262	0.7
0.213	0.00606637	0.702
0.213	0.00576575	0.704
0.213	0.00547997	0.706
0.213	0.00520831	0.708
